Reading pref.tcl

# 2021.3_1

# do run.do
# 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 14:12:55 on May 25,2026
# vlog -source -lint async_fifo.sv 
# -- Compiling module asynchronous_fifo
# -- Compiling module fifo_mem
# -- Compiling module synchronizer
# -- Compiling module rptr_handler
# -- Compiling module wptr_handler
# 
# Top level modules:
# 	asynchronous_fifo
# End time: 14:12:56 on May 25,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 14:12:56 on May 25,2026
# vlog -source -lint async_fifo_package.sv 
# -- Compiling package async_fifo_pkg
# 
# Top level modules:
# 	--none--
# End time: 14:12:56 on May 25,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 14:12:56 on May 25,2026
# vlog -source -lint aysnc_fifo_interface.sv 
# -- Compiling interface intf
# 
# Top level modules:
# 	--none--
# End time: 14:12:56 on May 25,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 14:12:56 on May 25,2026
# vlog -source -lint async_fifo_top.sv 
# -- Compiling package async_fifo_top_sv_unit
# -- Importing package async_fifo_pkg
# -- Compiling program test
# -- Compiling interface intf
# -- Compiling module async_fifo_top
# 
# Top level modules:
# 	async_fifo_top
# End time: 14:12:56 on May 25,2026, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 14:12:56 on May 25,2026
# vlog -source -lint async_fifo_test.sv 
# -- Compiling package async_fifo_test_sv_unit
# -- Importing package async_fifo_pkg
# -- Compiling program test
# 
# Top level modules:
# 	test
# End time: 14:12:57 on May 25,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vopt 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 14:12:57 on May 25,2026
# vopt async_fifo_top -o top_optimized "+acc" "+cover=sbfec+asynchronous_fifo(rtl)." 
# 
# Top level modules:
# 	async_fifo_top
# 
# Analyzing design...
# -- Loading module async_fifo_top
# -- Loading interface intf
# -- Loading program test
# -- Loading module asynchronous_fifo
# -- Loading module fifo_mem
# -- Loading module synchronizer
# -- Loading module rptr_handler
# -- Loading module wptr_handler
# Optimizing 12 design-units (inlining 0/9 module instances):
# -- Optimizing package async_fifo_pkg(fast)
# -- Optimizing package async_fifo_top_sv_unit(fast)
# -- Optimizing package async_fifo_test_sv_unit(fast)
# -- Optimizing interface intf(fast__2)
# -- Optimizing module wptr_handler(fast)
# -- Optimizing module rptr_handler(fast)
# -- Optimizing module asynchronous_fifo(fast)
# -- Optimizing module async_fifo_top(fast)
# -- Optimizing module fifo_mem(fast)
# -- Optimizing module synchronizer(fast)
# -- Optimizing program test(fast)
# -- Optimizing interface intf(fast)
# Optimized design name is top_optimized
# End time: 14:12:58 on May 25,2026, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# vsim top_optimized -coverage 
# Start time: 14:12:58 on May 25,2026
# //  Questa Sim-64
# //  Version 2021.3_1 linux_x86_64 Aug 15 2021
# //
# //  Copyright 1991-2021 Mentor Graphics Corporation
# //  All Rights Reserved.
# //
# //  QuestaSim and its associated documentation contain trade
# //  secrets and commercial or financial information that are the property of
# //  Mentor Graphics Corporation and are privileged, confidential,
# //  and exempt from disclosure under the Freedom of Information Act,
# //  5 U.S.C. Section 552. Furthermore, this information
# //  is prohibited from disclosure under the Trade Secrets Act,
# //  18 U.S.C. Section 1905.
# //
# Loading sv_std.std
# Loading work.intf(fast)
# Loading work.async_fifo_pkg(fast)
# Loading work.async_fifo_top_sv_unit(fast)
# Loading work.async_fifo_top(fast)
# Loading work.intf(fast__2)
# Loading work.async_fifo_test_sv_unit(fast)
# Loading work.test(fast)
# Loading work.asynchronous_fifo(fast)
# Loading work.fifo_mem(fast)
# Loading work.synchronizer(fast)
# Loading work.rptr_handler(fast)
# Loading work.wptr_handler(fast)
# 1
# [TEST] M2 class-based async FIFO test starting
# [DRIVER] Reset asserted; parking interface signals at 0
# [DRIVER] Reset deasserted; ready to drive
# [GEN] Emitted 500 transactions to each side
# [MONITOR] Done: wr_obs=206 rd_obs=206
# [DRIVER] Done: wr_trans=500 rd_trans=500
# 
# ==================== SCOREBOARD SUMMARY ====================
#   Writes observed       : 206
#   Reads  observed       : 206
#   Residual expected_q   : 0
#   Mismatches / errors   : 0
#   Verdict: *** PASSED ***
# ============================================================
# ** Note: $finish    : async_fifo_environment.sv(63)
#    Time: 14070 ns  Iteration: 1  Instance: /async_fifo_top/t1
# 1
# Break in Task async_fifo_pkg/environment::run at async_fifo_environment.sv line 63
# Stopped at async_fifo_environment.sv line 63
# QuestaSim-64 vcover 2021.3_1 Coverage Utility 2021.08 Aug 15 2021
# Start time: 14:12:59 on May 25,2026
# vcover report async_fifo.ucdb 
# Coverage Report Summary Data by instance
# 
# =================================================================================
# === Instance: /async_fifo_top/DUT/fifo_mem_inst
# === Design Unit: work.fifo_mem
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Branches                         2         2         0   100.00%
#     Conditions                       2         2         0   100.00%
#     Statements                       3         3         0   100.00%
# 
# =================================================================================
# === Instance: /async_fifo_top/DUT/synchronizer_r2w_inst
# === Design Unit: work.synchronizer
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Branches                         2         2         0   100.00%
#     Statements                       5         5         0   100.00%
# 
# =================================================================================
# === Instance: /async_fifo_top/DUT/synchronizer_w2r_inst
# === Design Unit: work.synchronizer
# =================================================================================
#     Enabled Coverage              Bins      Hits    Misses  Coverage
#     ----------------              ----      ----    ------  --------
#     Branches                         2         2         0   100.00%
